 Case7-28-8
 Blade row:            2
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   1.4417757920349381  2.3532272513314241 -0.5263632177437205  0.4306608145175894  0.9114514592964860  0.3926990816987241
 2   1.2271539902289192  2.0261009082650867 -0.4582095343095033  0.3748987098895936  0.7989469180361675  0.3926990816987241
 3   1.1448350331214476  1.8583077121921707 -0.4067202985979742  0.3327711533983424  0.7134726790707231  0.3926990816987241
 4   1.0756721248181280  1.7191474722047522 -0.3647485560161287  0.2984306367404689  0.6434753473866242  0.3926990816987241
 5   1.0167886308915173  1.6013970263002280 -0.3296352176045360  0.2697015416764384  0.5846083954087107  0.3926990816987241
 6   0.9665246211440038  1.5016190146673332 -0.3002779610464271  0.2456819681288949  0.5350943935233293  0.3926990816987241
 7   0.9228929859812802  1.4151534711887377 -0.2750568810797772  0.2250465390652722  0.4922604852074575  0.3926990816987241
 8   0.8849042393435822  1.3401984053295213 -0.2534670782275206  0.2073821549134259  0.4552941659859391  0.3926990816987241
 9   0.8514957125420821  1.2744694810154376 -0.2347565111878985  0.1920735091537351  0.4229737684733554  0.3926990816987241
10   0.8218478047126658  1.2162137282287508 -0.2183423656116810  0.1786437536822844  0.3943659235160850  0.3926990816987241
11   0.7953063265487123  1.1640653677632180 -0.2037755935290804  0.1667254856147021  0.3687590412145058  0.3926990816987241
12   0.7713376368046951  1.1169400548926049 -0.1907043372472689  0.1560308213841291  0.3456024180879098  0.3926990816987241
13   0.7495334070139883  1.0740975167919764 -0.1789062487958074  0.1463778399238424  0.3245641097779881  0.3926990816987241
14   0.7295997868728309  1.0350678985116597 -0.1682525825150554  0.1376612038759544  0.3054681116388288  0.3926990816987241
15   0.7112939654249001  0.9993841555331970 -0.1585954790901313  0.1297599374373801  0.2880901901082970  0.3926990816987241
16   0.6943539199883083  0.9663938519770440 -0.1497034957212976  0.1224846783174253  0.2720399319887357  0.3926990816987241
17   0.6785466360170717  0.9355550420016008 -0.1413959182251618  0.1156875694569505  0.2570084059845291  0.3926990816987241
18   0.6636406605066589  0.9063538856018053 -0.1335100139928456  0.1092354659941464  0.2427132250951464  0.3926990816987241
19   0.6494188778744576  0.8783489823762697 -0.1259171685306784  0.1030231378887368  0.2289301045018121  0.3926990816987241
20   0.6355726074704866  0.8508825704491400 -0.1184213116078776  0.0968901640428089  0.2153099629786533  0.3926990816987241
21   0.6281637103576956  0.8284767249965388 -0.1101721580513638  0.0901408565874794  0.2003130146388432  0.3926990816987241
