Section,    Normalized_Span,       Meridional_Chord,      Chord (mm),             Throat (mm),            LE Thickness (mm),     Max Thickness (mm),    TE Thickness (mm)
 1,         0.0000000000000000,    0.9114514592964860,    59.8134274504814911,     9.5925523299186253,    2.0769187218667207,    7.1353109248377216,    1.6371850267394037
 2,         0.0725874935696759,    0.7989469180361675,    57.5757806222754738,    12.3436026555572091,    1.7266434476246975,    6.3593763604562810,    1.3620749240091778
 3,         0.1364466059646697,    0.7134726790707231,    55.4607259888988580,    15.5821934719647999,    1.4241889366572675,    5.6539841503657691,    1.1502143130582654
 4,         0.1972647392599558,    0.6434753473866242,    53.5656913666732777,    18.6618212324767683,    1.1607139702384235,    5.0004634912917227,    0.9763807840354157
 5,         0.2558825785744104,    0.5846083954087107,    52.1805549237797379,    21.0511705100667328,    0.9389054902161810,    4.4233328049252183,    0.8363513985087571
 6,         0.3116160319744542,    0.5350943935233293,    51.6624242242541385,    22.5221108639882495,    0.7619056236422611,    3.9515607332700022,    0.7298398290056087
 7,         0.3655201497480502,    0.4922604852074575,    51.8101170795898867,    23.7131139262721895,    0.6180389064305071,    3.5545411343638387,    0.6448289890737834
 8,         0.4170113749693253,    0.4552941659859391,    52.0041575450872173,    25.2484005066752140,    0.4984055334551342,    3.1916358485285490,    0.5705311878396230
 9,         0.4663685693109064,    0.4229737684733554,    52.1416470082490449,    26.8144466375823214,    0.4003443509497679,    2.8595923234226457,    0.5040694439081335
10,         0.5138637244327582,    0.3943659235160850,    52.1568684122118569,    28.2778513011064483,    0.3213891361378452,    2.5590735345748041,    0.4437767605183902
11,         0.5597793782871862,    0.3687590412145058,    51.9984216261944852,    29.5988859085453235,    0.2585842662220950,    2.2895528876309998,    0.3885729680021832
12,         0.6044710364981497,    0.3456024180879098,    51.6672216251224583,    30.7647045512549511,    0.2087579024890175,    2.0489397313227258,    0.3379615105631416
13,         0.6481600708438111,    0.3245641097779881,    51.1680023491833325,    31.8184426244572407,    0.1694288053432881,    1.8356644313702855,    0.2916647567640345
14,         0.6908569261461069,    0.3054681116388288,    50.9912369910592460,    32.3638106709769673,    0.1400217316260931,    1.6648042141437704,    0.2520556851469237
15,         0.7326367794421862,    0.2880901901082970,    51.7569978879230632,    32.0057725720656379,    0.1196294898693572,    1.5493269162559256,    0.2206915831365726
16,         0.7739957362113055,    0.2720399319887357,    52.0794691867698774,    32.0729192671252221,    0.1029410212616367,    1.4405587469748020,    0.1901112926094718
17,         0.8153992301037785,    0.2570084059845291,    51.9760436051751498,    32.4654158948368874,    0.0892287109413830,    1.3386120394894052,    0.1605836625479995
18,         0.8574152552502916,    0.2427132250951464,    52.3407355227007329,    32.5934574777582995,    0.0790589912722219,    1.2631233552674819,    0.1343011468298484
19,         0.9006215038479826,    0.2289301045018121,    52.9957935117594801,    32.3866374482805810,    0.0711041957531599,    1.2038909992527289,    0.1094032429957000
20,         0.9462005147987939,    0.2153099629786533,    53.9242923490011492,    32.0060364920401526,    0.0644776395308170,    1.1546583992350390,    0.0843292777959543
21,         1.0000000000000000,    0.2003130146388432,    55.1529215837971378,    31.4348077861013451,    0.0577737816584966,    1.1031989733205869,    0.0547905167128591
